Protein Accession	Assembly	Species	Lineage	Assembly BioProject Lineage Title	Assembly BioSample Attribute Name	Assembly BioSample Attribute Value	Assembly BioSample Description Title	Assembly BioSample Sample Identifiers Database	Assembly BioSample Models	Assembly BioSample Owner Name	Assembly BioSample Package	Assembly BioSample Publication date	Assembly Level	Assembly Notes	Assembly Sequencing Tech	Assembly Stats GC Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Total Sequence Length	Current Accession	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length MB	Signature.accession	Combined Signature description	Total Signature Description	color three
WP_183472082.1	GCF_014190915.1	Mycolicibacterium iranicum	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Mycobacterium iranicum AT2.18 genome sequencing	strain	AT2.18	Mycobacterium iranicum AT2.18	SRA	MIGS.ba	DOE Joint Genome Institute	MIGS.ba.6.0	2019-06-11 0:00:00	Scaffold	Not Available	Illumina	3780011	68.5	272.0x	5518717	GCF_014190915.1	Mycolicibacterium iranicum	912594	5.518717	cd05931	FAAL	1	#FFFFFF
WP_163675621.1	GCF_025822745.1	Mycolicibacterium poriferae	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Comparative genomics of mycobacteria	strain	DSM 44585	Microbe sample from Mycolicibacterium poriferae	Not Available	Microbe, viral or environmental	Uppsala University	Microbe.1.0	2021-08-31 0:50:42	Scaffold	Not Available	Illumina	3851670	68	215.0x	5653227	GCF_025822745.1	Mycolicibacterium poriferae	39694	5.653227	cd05931	FAAL	1	#FFFFFF
KRE33140.1	GCA_001428285.1	Mycobacterium sp. Soil538	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Arabidopsis thaliana soil-derived microbiota culture collections Genome sequencing and assembly	ref_biomaterial	genome	MIGS Cultured Bacterial/Archaeal sample from Mycobacterium sp. Soil538	Not Available	MIGS.ba,MIGS/MIMS/MIMARKS.plant-associated	ETH Zurich	MIGS.ba.plant-associated.6.0	2015-11-07 6:45:18	Scaffold	unverified source organism	Illumina HiSeq	3956826	69	300.0x	5747657	GCA_001428285.1	Mycobacterium sp. Soil538	1736391	5.747657	cd05931	FAAL	1	#FFFFFF
WP_014815997.1	GCF_000266905.1	Mycolicibacterium chubuense	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Mycobacterium chubuense NBB4 genome sequencing project.	biotic_relationship	free living	MIGS Cultured Bacterial/Archaeal sample from Mycobacterium chubuense NBB4	Not Available	MIGS.ba	Joint Genome Institute	MIGS.ba.6.0	2013-07-19 0:00:00	Complete Genome	Not Available	454/Illumina	4331095	68.5	30.0x	6342624	GCF_000266905.1	Mycolicibacterium chubuense NBB4	710421	6.342624	cd05931	FAAL	1	#FFFFFF
MBE7193003.1	GCA_015069805.1	Gordonia polyisoprenivorans	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Gordoniaceae; Gordonia	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	-1	-1	Not Available	-1	Not Available	Not Available	-1	Not Available	cd05931	FAAL	1	#FFFFFF
GAB32800.1	GCA_000248075.2	Gordonia otitidis NBRC 100426	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Gordoniaceae; Gordonia	Gordonia otitidis NBRC 100426 genome sequencing project	sample_name	NBRC 100426	Generic sample from Gordonia otitidis NBRC 100426	Not Available	MIGS.ba	National Institute of Technology and Evaluation Biological Resource Center	MIGS.ba.6.0	2015-10-08 0:00:00	Contig	Not Available	Roche 454	3464650	65.5	24.0x	5295895	GCA_000248075.2	Gordonia otitidis NBRC 100426	1108044	5.295895	cd05931	FAAL	1	#FFFFFF
SKZ83259.1	GCA_900137635.1	Mycobacteroides abscessus subsp. abscessus	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacteroides; Mycobacteroides abscessus	Whole_genome_sequencing_of_pathogenic_strains_of_Mycobacterium_abscessus	ENA first public	5/6/2014	12095_2#37	SRA	Generic	EBI	Generic.1.0	2014-05-06 0:00:00	Scaffold	contaminated,fragmented assembly,genome length too large	Not Available	6722600	62	100.0x	11565537	GCA_900137635.1	Mycobacteroides abscessus subsp. abscessus	1185650	11.565537	cd05931	FAAL	1	#FFFFFF
WP_064869271.1	GCF_001665925.1	unclassified Gordonia (in: high G+C Gram-positive bacteria)	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Gordoniaceae; Gordonia	Sequence and Analysis of Non-tuberculous Mycobacteria (NTM) strains	isolation_source	Unknown	Sample of Mycobacterium sp. 852002-50816_SCH5313054-c	SRA	Pathogen.cl	JCVI	Pathogen.cl.1.0	2016-04-14 13:00:03	Contig	Not Available	Illumina NextSeq 500	3337398	65.5	177.5x	5114218	GCF_001665925.1	Gordonia sp. 852002-50816_SCH5313054-c	1834093	5.114218	cd05931	FAAL	1	#FFFFFF
WP_255585892.1	GCF_019656655.1	Tsukamurella	Bacteria; Actinomycetota;  Actinomycetes;  Mycobacteriales;  Tsukamurellaceae																					cd05931	FAAL	1	#FFFFFF
WP_146560299.1	GCF_007858435.1	Tsukamurella asaccharolytica	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Tsukamurellaceae; Tsukamurella	Tsukamurella asaccharolytica strain:HKU71 Genome sequencing and assembly	strain	HKU71	MIGS Cultured Bacterial/Archaeal sample from Tsukamurella asaccharolytica	Not Available	MIGS.ba,MIGS/MIMS/MIMARKS.human-associated	The University of Hong Kong	MIGS.ba.human-associated.6.0	2019-08-08 0:00:00	Contig	Not Available	Illumina HiSeq	2895825	70	38.0x	4123067	GCF_007858435.1	Tsukamurella asaccharolytica	2592067	4.123067	cd05931	FAAL	1	#FFFFFF
WP_231706469.1	GCF_007858475.1	Tsukamurella	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Tsukamurellaceae	Tsukamurella conjunctivitidis strain:HKU72 Genome sequencing and assembly	strain	HKU72	MIGS Cultured Bacterial/Archaeal sample from Tsukamurella conjunctivitidis	Not Available	MIGS.ba,MIGS/MIMS/MIMARKS.human-associated	The University of Hong Kong	MIGS.ba.human-associated.6.0	2019-08-08 0:00:00	Contig	Not Available	Illumina HiSeq	3580439	70.5	147.0x	5076401	GCF_007858475.1	Tsukamurella conjunctivitidis	2592068	5.076401	cd05931	FAAL	1	#FFFFFF
WP_068533160.1	GCF_900460155.1	Tsukamurella pulmonis	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Tsukamurellaceae; Tsukamurella	NCTC_3000	ENA-CHECKLIST	ERC000011	NCTC13230	SRA	Generic	EBI	Generic.1.0	2017-09-19 0:00:00	Contig	Not Available	Not Available	3382343	71	100.0x	4773464	GCF_900460155.1	Tsukamurella pulmonis	47312	4.773464	cd05931	FAAL	1	#FFFFFF
MCB0930642.1	GCA_020438845.1	Mycobacterium sp.	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	activated sludge metagenome Raw sequence reads	isolation_source	activated sludge from Shatin waste water treatment plant collected monthly from 2007 through 2015	ACTI_42	Not Available	Microbe, viral or environmental	The University Hong Kong	Microbe.1.0	2021-10-14 6:39:57	Contig	derived from metagenome	Illumina HiSeq	2962507	65.5	81.0x	4526814	GCA_020438845.1	Mycobacterium sp.	1785	4.526814	cd05931	FAAL	1	#FFFFFF
MBT0777032.1	GCA_018500005.2	Candidatus Shapirobacteria bacterium	Bacteria; Candidatus Shapirobacteria	Reconstruction of metagenome-assembled genomes from aquaria	collection_date	2012-10	MIMAG Metagenome-assembled Genome sample from Mycobacterium sp.	Not Available	MIMAG	University of California, Davis	MIMAG.6.0	2021-05-11 0:00:00	Contig	derived from metagenome	Illumina	2229065	66.5	11.0x	3347277	GCA_018500005.2	Mycobacterium sp.	1785	3.347277	cd05931	FAAL	1	#FFFFFF
WP_211696400.1	GCF_018278905.1	Mycobacterium spongiae	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Mycobacterium spongiae strain:FSD4b-SM | isolate:FSD4b-SM Genome sequencing and assembly	strain	FSD4b-SM	Mycobacterium spongiae sp. nov. isolated from a marine sponge	Not Available	Microbe, viral or environmental	University of Melbourne	Microbe.1.0	2021-05-06 18:38:59	Complete Genome	Not Available	PacBio RSII	3658883	65.5	40.0x	5581157	GCF_018278905.1	Mycobacterium spongiae	886343	5.581157	cd05931	FAAL	1	#FFFFFF
MBT0774830.1	GCA_018500005.2	Candidatus Shapirobacteria bacterium	Bacteria; Candidatus Shapirobacteria	Reconstruction of metagenome-assembled genomes from aquaria	collection_date	2012-10	MIMAG Metagenome-assembled Genome sample from Mycobacterium sp.	Not Available	MIMAG	University of California, Davis	MIMAG.6.0	2021-05-11 0:00:00	Contig	derived from metagenome	Illumina	2229065	66.5	11.0x	3347277	GCA_018500005.2	Mycobacterium sp.	1785	3.347277	cd05931	FAAL	1	#FFFFFF
MBU3750285.1	GCA_018882545.1	Mycobacterium sp.	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Lake at Sao Paulo Zoo Metagenome	geo_loc_name	Brazil: Sao Paulo Zoo	Microbe sample from Mycobacterium sp.	Not Available	Microbe, viral or environmental	Instituto de Quimica	Microbe.1.0	2020-06-05 0:50:12	Scaffold	derived from metagenome	Illumina MiSeq	2231363	68	8.3x	3276107	GCA_018882545.1	Mycobacterium sp.	1785	3.276107	cd05931	FAAL	1	#FFFFFF
MBU3748882.1	GCA_018882545.1	Mycobacterium sp.	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Lake at Sao Paulo Zoo Metagenome	geo_loc_name	Brazil: Sao Paulo Zoo	Microbe sample from Mycobacterium sp.	Not Available	Microbe, viral or environmental	Instituto de Quimica	Microbe.1.0	2020-06-05 0:50:12	Scaffold	derived from metagenome	Illumina MiSeq	2231363	68	8.3x	3276107	GCA_018882545.1	Mycobacterium sp.	1785	3.276107	cd05931	FAAL	1	#FFFFFF
MCB0930640.1	GCA_020438845.1	Mycobacterium sp.	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	activated sludge metagenome Raw sequence reads	isolation_source	activated sludge from Shatin waste water treatment plant collected monthly from 2007 through 2015	ACTI_42	Not Available	Microbe, viral or environmental	The University Hong Kong	Microbe.1.0	2021-10-14 6:39:57	Contig	derived from metagenome	Illumina HiSeq	2962507	65.5	81.0x	4526814	GCA_020438845.1	Mycobacterium sp.	1785	4.526814	cd05931	FAAL	1	#FFFFFF
WP_163723530.1	GCF_025821805.1	Mycolicibacterium psychrotolerans	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Comparative genomics of mycobacteria	strain	DSM 44697	Microbe sample from Mycolicibacterium psychrotolerans	Not Available	Microbe, viral or environmental	Uppsala University	Microbe.1.0	2021-08-31 0:00:00	Scaffold	Not Available	Illumina	3924203	69	219.0x	5707071	GCF_025821805.1	Mycolicibacterium psychrotolerans	216929	5.707071	cd05931	FAAL	1	#FFFFFF
WP_098004618.1	GCF_002553585.1	Mycolicibacterium duvalii	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Reference genomes of nontuberculos Mycobacterium species Genome sequencing and assembly	strain	IP141180004	Microbe sample from Mycobacterium duvalii	Not Available	Microbe, viral or environmental	San Raffaele Scientific Institute	Microbe.1.0	2017-09-27 0:00:00	Contig	Not Available	Illumina	3827069	68.5	51.6x	5603691	GCF_002553585.1	Mycolicibacterium duvalii	39688	5.603691	cd05931	FAAL	1	#FFFFFF
WP_260758937.1	GCF_025263265.1	Mycobacterium sp. SMC-4	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Mycobacterium sp. SMC-4 Genome sequencing	strain	SMC-4	Pathogen: clinical or host-associated sample from Mycobacterium sp. SMC-4	Not Available	Pathogen.cl	Samsung Medical Center	Pathogen.cl.1.0	2022-08-18 0:50:20	Complete Genome	Not Available	Illumina HiSeq X Ten; Oxford Nanopore GridION	3956215	66.5	100.0x	5936685	GCF_025263265.1	Mycobacterium sp. SMC-4	2857059	5.936685	cd05931	FAAL	1	#FFFFFF
WP_222881778.1	GCF_019856655.1	Mycolicibacterium austroafricanum	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Mycolicibacterium austroafricanum strain:MYC040 | isolate:MYC040 Genome sequencing and assembly	strain	MYC040	Microbe sample from Mycolicibacterium austroafricanum	Not Available	Microbe, viral or environmental	UNIFESP	Microbe.1.0	2021-07-01 0:00:00	Chromosome	Not Available	Illumina MiSeq	4081542	67.5	200.0x	6038139	GCF_019856655.1	Mycolicibacterium austroafricanum	39687	6.038139	cd05931	FAAL	1	#FFFFFF
WP_137149072.1	GCF_005222675.1	Mycolicibacterium sp. CR10	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Bacteria Genome sequencing and assembly	strain	CR10	Microbe sample from Mycolicibacterium sp. CR10	Not Available	Microbe, viral or environmental	Chinese Academy of Sciences	Microbe.1.0	2019-04-15 0:00:00	Contig	Not Available	Illumina HiSeq	4372361	67	315.0x	6536601	GCF_005222675.1	Mycolicibacterium sp. CR10	2562314	6.536601	cd05931	FAAL	1	#FFFFFF
MBX7447146.1	GCA_019710595.1	Mycolicibacterium aurantiacum	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Mycolicibacterium aurantiacum strain:3033 Genome sequencing and assembly	strain	B3033	Microbe sample from Mycolicibacterium sp.	Not Available	Microbe, viral or environmental	Guangxi Academy of Science	Microbe.1.0	2020-03-31 0:00:00	Scaffold	contaminated,not used as type	Illumina HiSeq	7502805	68	120.0x	11018640	GCA_019710595.1	Mycolicibacterium aurantiacum	2692455	11.01864	cd05931	FAAL	1	#FFFFFF
WP_170220075.1	GCF_006439015.1	Mycolicibacterium hodleri	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Mining the arctic soil microbiome for novel antimicrobial compounds of high industrial value	strain	S5.20	Microbe sample from Mycolicibacterium hodleri	Not Available	Microbe, viral or environmental	Universite Laval	Microbe.1.0	2018-10-15 0:00:00	Contig	Not Available	Illumina MiSeq	4207168	66	73.0x	6384412	GCF_006439015.1	Mycolicibacterium hodleri	49897	6.384412	cd05931	FAAL	1	#FFFFFF
MCH9708499.1	GCA_022600855.1	Actinomycetes bacterium	Bacteria; Actinomycetota; Actinomycetes	Sponge metagenome Metagenomic assembly	collection_date	12/3/2008	Actinobacteria bacterium O_S4.1_bin.11	Not Available	MIMAG.host-associated	Uppsala University	MIMAG.host-associated.6.0	2022-03-18 0:00:00	Contig	derived from metagenome,genus undefined	Illumina NovaSeq	2143145	65.5	367.9x	3278729	GCA_022600855.1	Actinomycetes bacterium	1883427	3.278729	cd05931	FAAL	1	#FFFFFF
MCH9730046.1	GCA_022600605.1	Actinomycetes bacterium	Bacteria; Actinomycetota; Actinomycetes	Sponge metagenome Metagenomic assembly	collection_date	12/3/2008	Actinobacteria bacterium O_S4.2_bin.18	Not Available	MIMAG.host-associated	Uppsala University	MIMAG.host-associated.6.0	2022-03-18 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq	3236046	64	75.0x	5051410	GCA_022600605.1	Actinomycetes bacterium	1883427	5.05141	cd05931	FAAL	1	#FFFFFF
MCH9762443.1	GCA_022600635.1	Actinomycetes bacterium	Bacteria; Actinomycetota; Actinomycetes	Sponge metagenome Metagenomic assembly	collection_date	12/3/2008	Actinobacteria bacterium O_S4.2_bin.15	Not Available	MIMAG.host-associated	Uppsala University	MIMAG.host-associated.6.0	2022-03-18 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq	2538022	65.5	817.6x	3868059	GCA_022600635.1	Actinomycetes bacterium	1883427	3.868059	cd05931	FAAL	1	#FFFFFF
WP_178357299.1	GCF_013390125.1	Mycolicibacterium hippocampi	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Mycolicibacterium hippocampi strain:DL Genome sequencing and assembly	strain	DL	Microbe sample from Mycolicibacterium hippocampi	Not Available	Microbe, viral or environmental	University of Patras	Microbe.1.0	2020-05-07 0:00:00	Contig	Not Available	Illumina HiSeq	4172008	66.5	30.0x	6251150	GCF_013390125.1	Mycolicibacterium hippocampi	659824	6.25115	cd05931	FAAL	1	#FFFFFF
GJF09220.1	GCA_026005255.1	Mycolicibacterium sp. NGTWSNA01	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Whole genome sequence of Mycolicibacterium sp, a novel mycolicibacterium species of fish Mycobacteriosis.	sample_name	NGTWS0302	Whole genome sequence of Mycolicibacterium spp.	SRA	MIGS.ba	Fish Pathology  Marine Bioscience, Tokyo University of Marine Science and Technology	MIGS.ba.6.0	2022-08-08 0:00:00	Scaffold	fragmented assembly	Illumina Miseq	2595521	65	750.0x	3982821	GCA_026005255.1	Mycolicibacterium sp. NGTWS0302	2860310	3.982821	cd05931	FAAL	1	#FFFFFF
WP_245906104.1	GCF_002592005.1	Mycobacterium palauense	Bacteria;  Actinomycetota;  Actinomycetes;  Mycobacteriales;  Mycobacteriaceae;  Mycobacterium																					cd05931	FAAL	1	#FFFFFF
WP_014815999.1	GCF_000266905.1	Mycolicibacterium chubuense	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Mycobacterium chubuense NBB4 genome sequencing project.	biotic_relationship	free living	MIGS Cultured Bacterial/Archaeal sample from Mycobacterium chubuense NBB4	Not Available	MIGS.ba	Joint Genome Institute	MIGS.ba.6.0	2013-07-19 0:00:00	Complete Genome	Not Available	454/Illumina	4331095	68.5	30.0x	6342624	GCF_000266905.1	Mycolicibacterium chubuense NBB4	710421	6.342624	cd05931	FAAL	1	#FFFFFF
MBX7455190.1	GCA_019710595.1	Mycolicibacterium aurantiacum	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Mycolicibacterium aurantiacum strain:3033 Genome sequencing and assembly	strain	B3033	Microbe sample from Mycolicibacterium sp.	Not Available	Microbe, viral or environmental	Guangxi Academy of Science	Microbe.1.0	2020-03-31 0:00:00	Scaffold	contaminated,not used as type	Illumina HiSeq	7502805	68	120.0x	11018640	GCA_019710595.1	Mycolicibacterium aurantiacum	2692455	11.01864	cd05931	FAAL	1	#FFFFFF
WP_048417474.1	GCF_900453455.1	Mycolicibacterium chubuense	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	NCTC_3000	ENA-CHECKLIST	ERC000011	NCTC10819	SRA	Generic	EBI	Generic.1.0	2017-05-03 0:00:00	Contig	Not Available	Not Available	4163684	69	100.0x	6021188	GCF_900453455.1	Mycolicibacterium chubuense	1800	6.021188	cd05931	FAAL	1	#FFFFFF
KRE33141.1	GCA_001428285.1	Mycobacterium sp. Soil538	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Arabidopsis thaliana soil-derived microbiota culture collections Genome sequencing and assembly	ref_biomaterial	genome	MIGS Cultured Bacterial/Archaeal sample from Mycobacterium sp. Soil538	Not Available	MIGS.ba,MIGS/MIMS/MIMARKS.plant-associated	ETH Zurich	MIGS.ba.plant-associated.6.0	2015-11-07 6:45:18	Scaffold	unverified source organism	Illumina HiSeq	3956826	69	300.0x	5747657	GCA_001428285.1	Mycobacterium sp. Soil538	1736391	5.747657	cd05931	FAAL	1	#FFFFFF
MBI5336242.1	GCA_004216875.1	Mycolicibacterium rufum	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Mycobacterium sp. BK558 Genome sequencing and assembly	strain	BK558	Mycobacterium sp. BK558	SRA	MIGS.ba	DOE Joint Genome Institute	MIGS.ba.6.0	2019-02-04 0:00:00	Scaffold	unverified source organism	PacBio	4286450	69	242.0x	6198679	GCA_004216875.1	Mycobacterium sp. BK558	2512172	6.198679	cd05931	FAAL	1	#FFFFFF
WP_011780334.1	GCF_025821565.1	Mycolicibacterium vanbaalenii	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Comparative genomics of mycobacteria	strain	DSM 7251	Microbe sample from Mycolicibacterium vanbaalenii PYR-1	Not Available	Microbe, viral or environmental	Uppsala University	Microbe.1.0	2021-08-31 0:00:00	Scaffold	Not Available	Illumina	4347364	68	699.0x	6415222	GCF_025821565.1	Mycolicibacterium vanbaalenii PYR-1	350058	6.415222	cd05931	FAAL	1	#FFFFFF
WP_067953375.1	GCF_001545925.1	Mycobacterium sp. NAZ190054	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Mycobacterium genome sequencing and assembly	strain	NAZ190054	Pathogen: clinical or host-associated sample from Mycobacterium sp. NAZ190054	Not Available	Pathogen.cl	Centers for Disease Control and Prevention. Division of Healthcare Quality Promotion	Pathogen.cl.1.0	2015-10-30 15:39:07	Contig	Not Available	Illumina MiSeq	4158291	68	22.5x	6094859	GCF_001545925.1	Mycobacterium sp. NAZ190054	1747766	6.094859	cd05931	FAAL	1	#FFFFFF
WP_260752674.1	GCF_025263565.1	Mycobacterium sp. SMC-8	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Mycobacterium sp. SMC-8 Genome sequencing	strain	SMC-8	Pathogen: clinical or host-associated sample from Mycobacterium sp. SMC-8	Not Available	Pathogen.cl	Samsung Medical Center	Pathogen.cl.1.0	2022-08-18 0:50:20	Complete Genome	Not Available	Illumina HiSeq X Ten; Oxford Nanopore GridION	4640913	67.5	100.0x	6882089	GCF_025263565.1	Mycobacterium sp. SMC-8	2857060	6.882089	cd05931	FAAL	1	#FFFFFF
PQP57796.1	GCA_002968295.1	Mycobacterium sp. ITM-2016-00317	Bacteria;  Actinomycetota;  Actinomycetes;  Mycobacteriales;  Mycobacteriaceae;  Mycobacterium																					cd05931	FAAL	1	#FFFFFF
WP_060941807.1	GCF_001655245.1	Mycolicibacterium vaccae	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Mycolicibacterium vaccae 95051 Genome sequencing	strain	95051	Microbe sample from Mycobacterium vaccae 95051	Not Available	Microbe, viral or environmental	Institute of Pathogen Biology, CAMS&PUMC	Microbe.1.0	2015-05-20 0:00:00	Complete Genome	Not Available	Sanger dideoxy sequencing; 454; PacBio	4276876	68.5	76.0x	6235754	GCF_001655245.1	Mycolicibacterium vaccae 95051	1354275	6.235754	cd05931	FAAL	1	#FFFFFF
PRC42553.1	GCA_002980235.1	Mycobacterium sp. ITM-2017-0098	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium	Bioremediation-capable novel Mycobacterium species from Iranian environmental samples	strain	ITM-2017-0098	Microbe sample from Mycobacterium sp. ITM-2017-0098	Not Available	Microbe, viral or environmental	Institute of Tropical Medicine	Microbe.1.0	2018-02-21 0:00:00	Contig	fragmented assembly	Illumina MiSeq	6297791	67	504.0x	9392216	GCA_002980235.1	Mycobacterium sp. ITM-2017-0098	2099692	9.392216	cd05931	FAAL	1	#FFFFFF
WP_048631096.1	GCF_900637195.1	Mycolicibacterium aurum	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	NCTC_3000	ENA-CHECKLIST	ERC000011	NCTC10437	SRA	Generic	EBI	Generic.1.0	2017-01-11 0:00:00	Complete Genome	Not Available	Not Available	4076298	67.5	100.0x	6035584	GCF_900637195.1	Mycolicibacterium aurum	1791	6.035584	cd05931	FAAL	1	#FFFFFF
BBX52314.1	GCF_022348005.1	Mycolicibacterium poriferae	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Genome sequencing and assembly of coral-associated bacteria	strain	OfavD-34-C	MIGS Cultured Bacterial/Archaeal sample from Mycolicibacterium sp. OfavD-34-C	Not Available	MIGS.ba,MIGS/MIMS/MIMARKS.host-associated	Meyer Microbes Lab	MIGS.ba.host-associated.6.0	2022-02-11 0:00:00	Contig	Not Available	Illumina MiSeq	3990313	68	22.0x	5862338	GCF_022348005.1	Mycolicibacterium sp. OfavD-34-C	2917746	5.862338	cd05931	FAAL	1	#FFFFFF
WP_200845920.1	GCF_902705885.1	Mycolicibacterium vanbaalenii	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Genome analysis of sterol-degrading bacteria isolated from marine sponges	ENA-CHECKLIST	ERC000013	Sterol-degrading bacterium isolated from marine sponge	SRA	Generic	EBI	Generic.1.0	2019-05-20 0:00:00	Scaffold	Not Available	Not Available	4482000	67	821.0x	6707119	GCF_902705885.1	Mycolicibacterium vanbaalenii	110539	6.707119	cd05931	FAAL	1	#FFFFFF
WP_205390413.1	GCF_025821585.1	Mycolicibacterium hippocampi	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Comparative genomics of mycobacteria	strain	DSM 45391	Microbe sample from Mycolicibacterium hippocampi	Not Available	Microbe, viral or environmental	Uppsala University	Microbe.1.0	2021-08-31 0:52:02	Contig	Not Available	Illumina	4236362	67.5	423.0x	6292450	GCF_025821585.1	Mycolicibacterium hippocampi	659824	6.29245	cd05931	FAAL	1	#FFFFFF
WP_024447007.1	GCF_000455165.1	Mycolicibacterium iranicum	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Mycolicibacterium iranicum UM_TJL Genome sequencing and assembly	strain	UM_TJL	Sample from Mycolicibacterium iranicum UM_TJL	Not Available	Generic	NCBI	Generic.1.0	2013-12-19 0:00:00	Scaffold	Not Available	Illumina HiSeq	4057418	66	1000.0x	6137283	GCF_000455165.1	Mycolicibacterium iranicum UM_TJL	1370125	6.137283	cd05931	FAAL	1	#FFFFFF
MBB2992922.1	GCF_014190915.1	Mycolicibacterium iranicum	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Mycobacterium iranicum AT2.18 genome sequencing	strain	AT2.18	Mycobacterium iranicum AT2.18	SRA	MIGS.ba	DOE Joint Genome Institute	MIGS.ba.6.0	2019-06-11 0:00:00	Scaffold	Not Available	Illumina	3780011	68.5	272.0x	5518717	GCF_014190915.1	Mycolicibacterium iranicum	912594	5.518717	cd05931	FAAL	1	#FFFFFF
WP_217889247.1	GCA_019148985.1	Mycolicibacterium sp. PAM1	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium	Mycolicibacterium sp. PAM1 Genome sequencing and assembly	strain	PAM1	MIGS Cultured Bacterial/Archaeal sample from Mycolicibacterium sp. PAM1	Not Available	MIGS.ba,MIGS/MIMS/MIMARKS.plant-associated	Kazan Federal University	MIGS.ba.plant-associated.6.0	2021-06-30 9:50:07	Contig	Not Available	Illumina MiSeq	3788716	68	55.2x	5581948	GCA_019148985.1	Mycolicibacterium sp. PAM1	2853535	5.581948	cd05931	FAAL	1	#FFFFFF
